Seq	PropersID	Year	Reference	Brief Description of Reading
749	Pentecost Sunday	ABC	Ps 104:1+24, 29-30, 31+34	“Lord, send out your Spirit, and renew the face of the earth.” or “Alleluia.”
750	Sunday after Epiphany: Baptism of the Lord (opt. C)	C	Ps 104:1b-2, 3-4, 24-25, 27-28, 29b-30	“O bless the Lord, my soul.”
751	Sunday in Octave of Christmas: Holy Family (opt. B)	B	Ps 105:1-2, 3-4, 6-7, 8-9	“The Lord remembers his covenant forever.”
752	Octave of Easter – Wednesday		Ps 105:1-2, 3-4, 6-7, 8-9	“The earth is full of the goodness of the Lord.” or “Alleluia.”
753	12th Sunday in Ordinary Time	B	Ps 107:23-24, 25-26, 28-29, 30-31	“Give thanks to the Lord, his love is everlasting.” or “Alleluia.”
754	Sunday after Trinity Sun: Body & Blood of Christ	C	Ps 110:1, 2, 3, 4	“You are a priest forever, in the line of Melchizedek.”
755	5th Sunday in Ordinary Time	A	Ps 112:4-5, 6-7, 8-9	“The just man is a light in darkness to the upright.” or “Alleluia.”
756	25th Sunday in Ordinary Time	C	Ps 113:1-2, 4-6, 7-8	“Praise the Lord, who lifts up the poor.” or “Alleluia.”
757	24th Sunday in Ordinary Time	B	Ps 116:1-2, 3-4, 5-6, 8-9	“I will walk before the Lord, in the land of the living.” or “Alleluia.”
758	2nd Sunday of Lent	B	Ps 116:10+15, 16-17, 18-19	“I will walk before the Lord, in the land of the living.”
759	Holy Thursday: Mass of the Lord’s Supper	ABC	Ps 116:12-13, 15-16, 17-18	“Our blessing-cup is a communion with the Blood of Christ.” (1 Cor 10:16)
760	Sunday after Trinity Sun: Body & Blood of Christ	B	Ps 116:12-13, 15-16, 17-18	“I will take the cup of salvation, and call on the name of the Lord.” or “Alleluia.”
761	21st Sunday in Ordinary Time	C	Ps 117:1, 2	“Go out to all the world and tell the good news.” (Mark 16:15) or “Alleluia.”
762	9th Sunday in Ordinary Time	C	Ps 117:1, 2	“Go out to all the world and tell the good news.” (Mark 16:15) or “Alleluia.”
763	Octave of Easter – Saturday		Ps 118:1+14-15, 16-18, 19-21	“I praise you, Lord, for you have answered me.” or “Alleluia.”
764	Octave of Easter – Friday		Ps 118:1-2+4, 22-24, 25-27	“The stone rejected by the builders has become the cornerstone.” or “Alleluia.”
765	Easter Vigil (resp. 8)	ABC	Ps 118:1-2, 16-17, 22-23	“Alleluia, Alleluia, Alleluia.”
766	Easter Sunday: Resurrection of the Lord	ABC	Ps 118:1-2, 16-17, 22-23	“The is the day that the Lord has made; let us rejoice and be glad.” or “Alleluia.”
767	4th Sunday of Easter	B	Ps 118:1+8-9, 21-23, 26+21+29	“The stone rejected by the builders has become the cornerstone.” or “Alleluia.”
768	2nd Sunday of Easter	C	Ps 118:2-4, 13-15, 22-24	“Give thanks to the Lord for he is good, his love is everlasting.” or “Alleluia.”
769	6th Sunday in Ordinary Time	A	Ps 119:1-2, 4-5, 17-18, 33-34	“Blessed are they who follow the law of the Lord!”
770	17th Sunday in Ordinary Time	A	Ps 119:57+72, 76-77, 127-128, 129-130	“Lord, I love your commands.”
771	29th Sunday in Ordinary Time	C	Ps 121:1-2, 3-4, 5-6, 7-8	“Our help is from the Lord, who made heaven and earth.”
772	34th Sunday in Ord. Time: Christ the King	C	Ps 122:1-2, 3-4a, 4b-5	“Let us go rejoicing to the house of the Lord.”
773	1st Sunday of Advent	A	Ps 122:1-2, 3-4a, 4b-5, 6-7, 8-9	“Let us go rejoicing to the house of the Lord.”
774	14th Sunday in Ordinary Time	B	Ps 123:1-2a, 2bc, 3-4	“Our eyes are fixed on the Lord, pleading for his mercy.”
775	2nd Sunday of Advent	C	Ps 126:1-2a, 2b-3, 4-5, 6	“The Lord has done great things for us; we are filled with joy.”
776	5th Sunday of Lent	C	Ps 126:1-2a, 2b-3, 4-5, 6	“The Lord has done great things for us; we are filled with joy.”
777	30th Sunday in Ordinary Time	B	Ps 126:1-2a, 2b-3, 4-5, 6	“The Lord has done great things for us; we are filled with joy.”
778	Sunday in Octave of Christmas: Holy Family	ABC	Ps 128:1-2, 3, 4-5	“Blessed are those who fear the Lord and walk in his ways.”
779	33rd Sunday in Ordinary Time	A	Ps 128:1-2, 3, 4-5	“Blessed are those who fear the Lord.”
780	27th Sunday in Ordinary Time	B	Ps 128:1-2, 3, 4-5, 6	“May the Lord bless us all the days of our lives.”
781	5th Sunday of Lent	A	Ps 130:1-2, 3-4, 5-6, 7-8	“With the Lord there is mercy and fullness of redemption.”
782	10th Sunday in Ordinary Time	B	Ps 130:1-2, 3-4, 5-6, 7-8	“With the Lord there is mercy, and fullness of redemption.”
783	31st Sunday in Ordinary Time	A	Ps 131:1, 2, 3	“In you, Lord, I have found my peace.”
784	Aug 15: Assumption of the BVMary, Vigil		Ps 132:6-7, 9-10, 13-14	“Lord, go up to the place of your rest, you and the ark of your holiness.”
785	4th Sunday of Lent	B	Ps 137:1-2, 3, 4-5, 6	“Let my tongue be silenced, if I ever forget you!”
786	5th Sunday in Ordinary Time	C	Ps 138:1-2a, 2b-3, 4-5, 7-8	“In the sight of the angels I will sing your praises, Lord.”
787	17th Sunday in Ordinary Time	C	Ps 138:1-2a, 2b-3, 6-7a, 7b-8	“Lord, on the day I called for help, you answered me.”
788	21st Sunday in Ordinary Time	A	Ps 138:1-2a, 2b-3, 6+8	“Lord, your love is eternal; do not forsake the work of your hands.”
789	June 24: Nativity of St. John the Baptist, Day		Ps 139:1b-3, 13-14ab, 14c-15	“I praise you for I am wonderfully made.”
790	14th Sunday in Ordinary Time	A	Ps 145:1-2, 8-9, 10-11, 13-14	“I will praise your name forever, my king and my God.” or “Alleluia.”
791	31st Sunday in Ordinary Time	C	Ps 145:1-2, 8-9, 10-11, 13b-14	“I will praise your name forever, my king and my God.”
792	25th Sunday in Ordinary Time	A	Ps 145:2-3, 8-9, 17-18	“The Lord is near to all who call upon him.”
793	5th Sunday of Easter	C	Ps 145:8-9, 10-11, 12-13	“I will praise your name forever, my king and my God.” or “Alleluia.”
794	18th Sunday in Ordinary Time	A	Ps 145:8-9, 15-16, 17-18	“The hand of the Lord feeds us; he answers all our needs.”
795	17th Sunday in Ordinary Time	B	Ps 145:10-11, 15-16, 17-18	“The hand of the Lord feeds us; he answers all our needs.”
796	3rd Sunday of Advent	A	Ps 146:6c-7, 8-9a, 9b-10	“Lord, come and save us.” (Isa 35:4) or “Alleluia.”
797	4th Sunday in Ordinary Time	A	Ps 146:6c-7, 8-9a, 9b-10	“Blessed are the poor in spirit; the kingdom of heaven is theirs!” (Matt 5:3) or “Alleluia.”
798	23rd Sunday in Ordinary Time	B	Ps 146:6c-7, 8-9a, 9b-10	“Praise the Lord, my soul!” or “Alleluia.”
799	26th Sunday in Ordinary Time	C	Ps 146:6c-7, 8-9a, 9b-10	“Praise the Lord, my soul!” or “Alleluia.”
800	32nd Sunday in Ordinary Time	B	Ps 146:6c-7, 8-9a, 9b-10	“Praise the Lord, my soul!” or “Alleluia.”
801	5th Sunday in Ordinary Time	B	Ps 147:1-2, 3-4, 5-6	“Praise the Lord, who heals the brokenhearted.” or “Alleluia.”
802	2nd Sunday after Christmas	ABC	Ps 147:12-13, 14-15, 19-20	“The Word of God became man and lived among us.” (John 1:14) or “Alleluia.”
803	Sunday after Trinity Sun: Body & Blood of Christ	A	Ps 147:12-13, 14-15, 19-20	“Praise the Lord, Jerusalem.” or “Alleluia.”
