Seq	PropersID	Year	Reference
1107	Ord. Time, Week 9, Thurs	2	Ps 25:4-5ab, 8-9, 10+14
1108	Lent, Week 4, opt. Mass	1+2	Ps 26:1, 7-8a, 8b-9abc, 13-14
1109	Ord. Time, Week 13, Tues	1	Ps 26:2-3, 9-10, 11-12
1110	Holy Week, Mon	1+2	Ps 27:1, 2, 3, 13-14
1111	Ord. Time, Week 4, Fri	1	Ps 27:1, 3, 5, 8b-9abc
1112	Advent, Week 1, Fri	1+2	Ps 27:1, 4, 13-14
1113	Easter, Week 2, Fri	1+2	Ps 27:1, 4, 13-14
1114	Ord. Time, Week 22, Tues	1	Ps 27:1, 4, 13-14
1115	Ord. Time, Week 31, Wed	2	Ps 27:1, 4, 13-14
1116	Ord. Time, Week 31, Thurs	1	Ps 27:1bcde, 4, 13-14
1117	Ord. Time, Week 10, Fri	2	Ps 27:7-8a, 8b-9abc, 13-14
1118	Ord. Time, Week 26, Thurs	2	Ps 27:7-8a, 8b-9abc, 13-14
1119	Ord. Time, Week 24, Mon	1	Ps 28:2, 7, 8-9
1120	Ord. Time, Week 6, Tues	1	Ps 29:1a+2, 3ac-4, 3b+9c-10
1121	Advent, Week 3, Thurs	1+2	Ps 30:2+4, 5-6, 11-12a+13b
1122	Lent, Week 4, Mon	1+2	Ps 30:2+4, 5-6, 11-12a+13b
1123	Easter, Week 3, Tues	1+2	Ps 31:3cd-4, 6+7b+8a, 17+21ab
1124	Dec 26: St. Stephen, the first martyr	1+2	Ps 31:3cd-4, 6+8ab, 16bc+17
1125	Lent, Week 2, Wed	1+2	Ps 31:5-6, 14, 15-16
1126	Ord. Time, Week 4, Mon	1	Ps 31:20, 21, 22, 23, 24
1127	Ord. Time, Week 11, Wed	2	Ps 31:20, 21, 24
1128	Ord. Time, Week 4, Wed	2	Ps 32:1-2, 5, 6, 7
1129	Ord. Time, Week 5, Fri	1	Ps 32:1-2, 5, 6, 7
1130	Ord. Time, Week 8, Mon	1	Ps 32:1-2, 5, 6, 7
1131	Ord. Time, Week 28, Fri	1	Ps 32:1b-2, 5, 11
1132	Ord. Time, Week 6, Fri	1	Ps 33:10-11, 12-13, 14-15
1133	Ord. Time, Week 21, Fri	2	Ps 33:1-2, 4-5, 10-11
1134	Ord. Time, Week 29, Thurs	2	Ps 33:1-2, 4-5, 11-12, 18-19
1135	Ord. Time, Week 28, Fri	2	Ps 33:1-2, 4-5, 12-13
1136	Easter, Week 2, Sat	1+2	Ps 33:1-2, 4-5, 18-19
1137	Ord. Time, Week 8, Thurs	1	Ps 33:2-3, 4-5, 6-7, 8-9
1138	Ord. Time, Week 24, Wed	2	Ps 33:2-3, 4-5, 12+22
1139	Ord. Time, Week 14, Wed	1	Ps 33:2-3, 10-11, 18-19
1140	Advent, Dec. 21	1+2	Ps 33:2-3, 11-12, 20-21
1141	Easter Octave, Tues	1+2	Ps 33:4-5, 18-19, 20+22
1142	Ord. Time, Week 22, Wed	2	Ps 33:12-13, 14-15, 20-21
1143	Ord. Time, Week 12, Mon	1	Ps 33:12-13, 18-19, 20+22
1144	Ord. Time, Week 21, Sat	2	Ps 33:12-13, 18-19, 20-21
1145	Ord. Time, Week 6, Thurs	2	Ps 34:2-3, 4-5, 6-7
1146	Ord. Time, Week 11, Fri	1	Ps 34:2-3, 4-5, 6-7
1147	Easter, Week 2, Wed	1+2	Ps 34:2-3, 4-5, 6-7, 8-9
1148	Ord. Time, Week 10, Mon	1	Ps 34:2-3, 4-5, 6-7, 8-9
1149	June 29: Solemnity: Sts. Peter and Paul, Day	1+2	Ps 34:2-3, 4-5, 6-7, 8-9
1150	Advent, Week 3, Tues	1+2	Ps 34:2-3, 6-7, 17-18, 19+23
1151	Ord. Time, Week 32, Tues	1	Ps 34:2-3, 16-17, 18-19
1152	Easter, Week 2, Thurs	1+2	Ps 34:2+9, 17-18, 19-20
1153	Lent, Week 1, Tues	1+2	Ps 34:4-5, 6-7, 16-17, 18-19
1154	Ord. Time, Week 13, Wed	1	Ps 34:7-8, 10-11, 12-13
1155	Ord. Time, Week 11, Sat	1	Ps 34:8-9, 10-11, 12-13
1156	Lent, Week 4, Fri	1+2	Ps 34:17-18, 19-20, 21+23
1157	Ord. Time, Week 16, Thurs	2	Ps 36:6-7ab, 8-9, 10-11
1158	Ord. Time, Week 3, Fri	1	Ps 37:3-4, 5-6, 23-24, 39-40
1159	Ord. Time, Week 22, Fri	2	Ps 37:3-4, 5-6, 27-28, 39-40
1160	Ord. Time, Week 7, Tues	1	Ps 37:3-4, 18-19, 27-28, 39-40
1161	Ord. Time, Week 14, Fri	1	Ps 37:3-4, 18-19, 27-28, 39-40
1162	Ord. Time, Week 32, Tues	2	Ps 37:3-4, 18+23, 27+29
1163	Ord. Time, Week 5, Wed	2	Ps 37:5-6, 30-31, 39-40
1164	Ord. Time, Week 3, Tues	1	Ps 40:2+4ab, 7-8a, 10, 11
1165	Ord. Time, Week 1, Wed	2	Ps 40:2+5, 7-8a, 8b-9, 10
1166	Ord. Time, Week 20, Thurs	1	Ps 40:5, 7-8a, 8b-9, 10
1167	March 25: Solemnity: Annunciation of the Lord	1+2	Ps 40:7-8a, 8b-9, 10, 11
1168	Ord. Time, Week 2, Thurs	1	Ps 40:7-8a, 8b-9, 10, 17
1169	Ord. Time, Week 24, Mon	2	Ps 40:7-8a, 8b-9, 10, 17
1170	Ord. Time, Week 29, Tues	1	Ps 40:7-8a, 8b-9, 10, 17
1171	Ord. Time, Week 30, Sat	2	Ps 42:2, 3, 5cdef
1172	Lent, Week 3, Mon	1+2	Ps 42:2, 3; 42:3, 4
1173	Easter, Week 4, Mon	1+2	Ps 42:2-3; 42:3, 4
1174	Ord. Time, Week 25, Fri	1	Ps 43:1, 2, 3, 4
1175	Ord. Time, Week 1, Thurs	2	Ps 44:10-11, 14-15, 24-25
1176	Aug 15: Solemnity: Assumption of the BVMary, Day	1+2	Ps 45:10, 11, 12, 16
1177	Ord. Time, Week 23, Wed	2	Ps 45:11-12, 14-15, 16-17
1178	Lent, Week 4, Tues	1+2	Ps 46:2-3, 5-6, 8-9
1179	Nov 9: Feast: Dedication of the Lateran Basilica in Rome	1+2	Ps 46:2-3, 5-6, 8-9
1180	Easter, Week 6, Fri	1+2	Ps 47:2-3, 4-5, 6-7
1181	Ord. Time, Week 2, Sat	1	Ps 47:2-3, 6-7, 8-9
1182	Easter, Week 6, Sat	1+2	Ps 47:2-3, 8-9, 10
1183	Ord. Time, Week 15, Tues	2	Ps 48:2-3a, 3b-4, 5-6, 7-8
1184	Ord. Time, Week 12, Tues	2	Ps 48:2-3ab, 3cd-4, 10-11
1185	Ord. Time, Week 4, Thurs	1	Ps 48:2-3ab, 3cd-4, 9, 10-11
1186	Ord. Time, Week 7, Wed	2	Ps 49:2-3, 6-7, 8-10, 11
1187	Ord. Time, Week 24, Fri	1	Ps 49:6-7, 8-10, 17-18, 19-20
1188	Ord. Time, Week 7, Thurs	2	Ps 49:14-15ab, 15cd-16, 17-18, 19-20
1189	Ord. Time, Week 6, Mon	1	Ps 50:1+8, 16bc-17, 20-21
1190	Ord. Time, Week 16, Sat	1	Ps 50:1b-2, 5-6, 14-15
1191	Ord. Time, Week 33, Thurs	1	Ps 50:1b-2, 5-6, 14-15
1192	Ord. Time, Week 8, Tues	1	Ps 50:5-6, 7-8, 14+23
1193	Ord. Time, Week 16, Mon	2	Ps 50:5-6, 8-9, 16bc-17, 21+23
1194	Ord. Time, Week 13, Wed	2	Ps 50:7, 8-9, 10-11, 12-13, 16bc-17
1195	Lent, Week 2, Tues	1+2	Ps 50:8-9, 16bc-17, 21+23
1196	Ord. Time, Week 2, Mon	2	Ps 50:8-9, 16bc-17, 21+23
1197	Ord. Time, Week 15, Mon	2	Ps 50:8-9, 16bc-17, 21+23
1198	Ord. Time, Week 13, Mon	2	Ps 50:16bc-17, 18-19, 20-21, 22-23
1199	Ord. Time, Week 3, Fri	2	Ps 51:3-4, 5-6a, 6bcd-7, 10-11
1200	Ord. Time, Week 18, Tues	1	Ps 51:3-4, 5-6ab, 6cd-7, 12-13
1201	Ord. Time, Week 11, Tues	2	Ps 51:3-4, 5-6ab, 11+16
1202	Ash Wednesday	1+2	Ps 51:3-4, 5-6ab, 12-13, 14+17
1203	Friday after Ash Wed.	1+2	Ps 51:3-4, 5-6ab, 18-19
1204	Ord. Time, Week 14, Fri	2	Ps 51:3-4, 8-9, 12-13, 14+17
1205	Lent, Week 1, Wed	1+2	Ps 51:3-4, 12-13, 18-19
1206	Lent, Week 3, Sat	1+2	Ps 51:3-4, 18-19, 20-21ab
1207	Ord. Time, Week 3, Sat	2	Ps 51:12-13, 14-15, 16-17
1208	Ord. Time, Week 18, Thurs	2	Ps 51:12-13, 14-15, 18-19
1209	Ord. Time, Week 19, Sat	2	Ps 51:12-13, 14-15, 18-19
1210	Ord. Time, Week 20, Thurs	2	Ps 51:12-13, 14-15, 18-19
1211	Ord. Time, Week 22, Wed	1	Ps 52:10, 11
1212	Ord. Time, Week 22, Sat	1	Ps 54:3-4, 6+8
1213	Ord. Time, Week 7, Tues	2	Ps 55:7-8, 9-10a, 10b-11a, 23
1214	Ord. Time, Week 2, Thurs	2	Ps 56:2-3, 9-10a, 10b-11, 12-13
1215	Ord. Time, Week 24, Sat	2	Ps 56:10c-12, 13-14
1216	Ord. Time, Week 2, Fri	2	Ps 57:2, 3-4, 6+11
1217	Easter, Week 5, Fri	1+2	Ps 57:8-9, 10+12
1218	Ord. Time, Week 17, Wed	2	Ps 59:2-3, 4, 10-11, 17, 18
1219	Ord. Time, Week 12, Mon	2	Ps 60:3, 4-5, 12-13
1220	Ord. Time, Week 28, Wed	1	Ps 62:2-3, 6-7, 9
1221	Ord. Time, Week 23, Mon	1	Ps 62:6-7, 9
1222	Ord. Time, Week 8, Sat	2	Ps 63:2, 3-4, 5-6
1223	Ord. Time, Week 10, Thurs	2	Ps 65:10, 11, 12-13
1224	Easter, Week 3, Wed	1+2	Ps 66:1-3a, 4-5, 6-7a
1225	Ord. Time, Week 19, Wed	1	Ps 66:1-3a, 5+8, 16-17
1226	Easter, Week 3, Thurs	1+2	Ps 66:8-9, 16-17, 20
1227	Easter, Week 4, Wed	1+2	Ps 67:2-3, 5, 6+8
1228	Advent, Week 3, Fri	1+2	Ps 67:2-3, 5, 7-8
1229	Ord. Time, Week 17, Sat	1	Ps 67:2-3, 5, 7-8
1230	Ord. Time, Week 30, Mon	1	Ps 68:2+4, 6-7ab, 20-21
1231	Easter, Week 7, Mon	1+2	Ps 68:2-3ab, 4-5acd, 6-7ab
1232	Easter, Week 7, Tues	1+2	Ps 68:10-11, 20-21
1233	Easter, Week 7, Wed	1+2	Ps 68:29-30, 33-35a, 35bc-36ab
1234	Ord. Time, Week 15, Tues	1	Ps 69:3, 14, 30-31, 33-34
1235	Ord. Time, Week 17, Fri	2	Ps 69:5, 8-10, 14
1236	Holy Week, Wed	1+2	Ps 69:8-10, 21-22, 31+33-34
1237	Ord. Time, Week 17, Sat	2	Ps 69:15-16, 30-31, 33-34
1238	Ord. Time, Week 31, Mon	1	Ps 69:30-31, 33-34, 36-37
1239	Ord. Time, Week 26, Sat	1	Ps 69:33-35, 36-37
1240	Holy Week, Tues	1+2	Ps 71:1-2, 3-4a, 5-6ab, 15+17
1241	Ord. Time, Week 16, Wed	2	Ps 71:1-2, 3-4a, 5-6ab, 15+17
1242	Aug 29: Martyrdom of St. John the Baptist	1+2	Ps 71:1-2, 3-4a, 5-6ab, 15ab+17
1243	June 24: Solemnity: Nativity of St. John the Baptist, Vigil	1+2	Ps 71:1-2, 3-4a, 5-6ab, 15ab+17
1244	Advent, Dec. 19	1+2	Ps 71:3-4a, 5-6ab, 16-17
1245	Ord. Time, Week 9, Sat	2	Ps 71:8-9, 14-15ab, 16-17, 22
1246	Tues after Epiphany, or Jan. 8	1+2	Ps 72:1-2, 3-4, 7-8
1247	Advent, Dec. 17	1+2	Ps 72:1-2, 3-4ab, 7-8, 17
1248	Advent, Week 1, Tues	1+2	Ps 72:1-2, 7-8, 12-13, 17
1249	Wed after Epiphany, or Jan. 9	1+2	Ps 72:1-2, 10, 12-13
1250	Advent, Dec. 18	1+2	Ps 72:1-2, 12-13, 18-19
1251	Thurs after Epiphany, or Jan. 10	1+2	Ps 72:1-2, 14+15bc, 17
1252	Ord. Time, Week 12, Sat	2	Ps 74:1b-2, 3-5, 6-7, 20-21
1253	Ord. Time, Week 18, Fri	1	Ps 77:12-13, 14-15, 16+21
1254	Sept 14: Feast: Exaltation of the Holy Cross	1+2	Ps 78:1bc-2, 34-35, 36-37, 38
1255	Ord. Time, Week 1, Fri	1	Ps 78:3+4bc, 6c-7, 8
1256	Lent, Week 2, Mon	1+2	Ps 78:8, 9, 11+13
1257	Ord. Time, Week 16, Wed	1	Ps 78:18-19, 23-24, 25-26, 27-28
1258	Ord. Time, Week 19, Thurs	2	Ps 78:56-57, 58-59, 61-62
1259	Ord. Time, Week 12, Thurs	2	Ps 79:1b-2, 3-5, 8, 9
1260	Ord. Time, Week 26, Fri	1	Ps 79:1b-2, 3-5, 8, 9
1261	Ord. Time, Week 8, Wed	1	Ps 79:8, 9, 11+13
1262	Ord. Time, Week 17, Tues	2	Ps 79:8, 9, 11+13
1263	Ord. Time, Week 2, Sat	2	Ps 80:2-3, 5-7
1264	Ord. Time, Week 14, Thurs	2	Ps 80:2ac+3b, 15-16
1265	Advent, Week 2, Sat	1+2	Ps 80:2ac+3b, 15-16, 18-19
1266	Ord. Time, Week 17, Fri	1	Ps 81:3-4, 5-6ab, 10-11ab
1267	Lent, Week 3, Fri	1+2	Ps 81:6c-8a, 8bc-9, 10-11ab, 14+17
1268	Ord. Time, Week 5, Fri	2	Ps 81:10-11ab, 12-13, 14-15
1269	Ord. Time, Week 18, Mon	1	Ps 81:12-13, 14-15, 16-17
1270	Ord. Time, Week 32, Wed	1	Ps 82:3-4, 6-7
1271	Ord. Time, Week 23, Fri	2	Ps 84:3, 4, 5-6, 12
1272	Ord. Time, Week 34, Fri	2	Ps 84:3, 4, 5-6a+8a
1273	Ord. Time, Week 16, Sat	2	Ps 84:3, 4, 5-6a+8a, 11
1274	Ord. Time, Week 17, Thurs	1	Ps 84:3, 4, 5-6a+8a, 11
1275	Ord. Time, Week 5, Tues	2	Ps 84:3, 4, 5+10, 11
1276	Ord. Time, Week 16, Tues	2	Ps 85:2-4, 5-6, 7-8
1277	Ord. Time, Week 2, Fri	1	Ps 85:8+10, 11-12, 13-14
1278	Ord. Time, Week 20, Tues	1	Ps 85:9, 11-12, 13-14
1279	Advent, Week 2, Mon	1+2	Ps 85:9ab+10, 11-12, 13-14
1280	Advent, Week 3, Wed	1+2	Ps 85:9ab+10, 11-12, 13-14
1281	Ord. Time, Week 10, Thurs	1	Ps 85:9ab+10, 11-12, 13-14
1282	Ord. Time, Week 13, Sat	2	Ps 85:9ab+10, 11-12, 13-14
1283	Ord. Time, Week 20, Sat	2	Ps 85:9ab+10, 11-12, 13-14
1284	Ord. Time, Week 29, Tues	2	Ps 85:9ab+10, 11-12, 13-14
1285	Saturday after Ash Wed.	1+2	Ps 86:1-2, 3-4, 5-6
1286	Ord. Time, Week 4, Tues	2	Ps 86:1-2, 3-4, 5-6
1287	Ord. Time, Week 27, Wed	1	Ps 86:3-4, 5-6, 9-10
1288	Mon after Pentecost: BVMary, Mother of the Church	1+2	Ps 87:1-2, 3+5, 6-7
1289	Easter, Week 4, Tues	1+2	Ps 87:1b-3, 4-5, 6-7
1290	Ord. Time, Week 26, Tues	1	Ps 87:1b-3, 4-5, 6-7
1291	Ord. Time, Week 26, Wed	2	Ps 88:10bc-11, 12-13, 14-15
1292	Ord. Time, Week 26, Tues	2	Ps 88:2-3, 4-5, 6, 7-8
1293	Advent, Dec. 24 (morning Mass)	1+2	Ps 89:2-3, 4-5, 27+29
1294	March 19: Solemnity: St. Joseph, Husband of the BVMary	1+2	Ps 89:2-3, 4-5, 27+29
1295	April 25: St. Mark, Evangelist	1+2	Ps 89:2-3, 6-7, 16-17
1296	Easter, Week 4, Thurs	1+2	Ps 89:2-3, 21-22, 25+27
1297	Ord. Time, Week 3, Wed	2	Ps 89:4-5, 27-28, 29-30
1298	Ord. Time, Week 11, Sat	2	Ps 89:4-5, 29-30, 31-32, 33-34
1299	Ord. Time, Week 1, Fri	2	Ps 89:16-17, 18-19
1300	Ord. Time, Week 3, Mon	2	Ps 89:20, 21-22, 25-26
1301	Ord. Time, Week 2, Tues	2	Ps 89:20, 21-22, 27-28
1302	Holy Week, Chrism Mass	1+2	Ps 89:21-22, 25+27
1303	Ord. Time, Week 9, Tues	2	Ps 90:2, 3-4, 10, 14+16
1304	Ord. Time, Week 5, Sat	1	Ps 90:2, 3-4abc, 5-6, 12-13
1305	Ord. Time, Week 25, Sat	2	Ps 90:3-4, 5-6, 12-13, 14+17
1306	Ord. Time, Week 25, Thurs	2	Ps 90:3-4, 5-6, 12-13, 14+17bc
1307	Ord. Time, Week 21, Thurs	1	Ps 90:3-4, 12-13, 14+17
1308	Oct 2: Holy Guardian Angels	1+2	Ps 91:1-2, 3-4ab, 4c-6, 10-11
1309	Ord. Time, Week 14, Mon	1	Ps 91:1-2, 3-4, 14-15ab
1310	Ord. Time, Week 9, Mon	2	Ps 91:1-2, 14-15ab, 15c-16
1311	Easter, Week 2, Tues	1+2	Ps 93:1ab, 1cd-2, 5
1312	Ord. Time, Week 7, Mon	1	Ps 93:1ab, 1cd-2, 5
1313	Ord. Time, Week 14, Sat	2	Ps 93:1ab, 1cd-2, 5
1314	Ord. Time, Week 15, Wed	2	Ps 94:5-6, 7-8, 9-10, 14-15
1315	Ord. Time, Week 30, Sat	1	Ps 94:12-13a, 14-15, 17-18
1316	Ord. Time, Week 6, Tues	2	Ps 94:12-13a, 14-15, 18-19
1317	Ord. Time, Week 34, Sat	2	Ps 95:1-2, 3-5, 6-7ab
1318	Lent, Week 3, Thurs	1+2	Ps 95:1-2, 6-7, 8-9
1319	Ord. Time, Week 18, Thurs	1	Ps 95:1-2, 6-7, 8-9
1320	Lent, Week 3, opt. Mass	1+2	Ps 95:1-2, 6-7ab, 7c-9
1321	Ord. Time, Week 1, Thurs	1	Ps 95:6-7c, 8-9, 10-11
1322	7th Day in Xmas Octave, Dec. 31	1+2	Ps 96:1-2, 11-12, 13
1323	Advent, Week 2, Tues	1+2	Ps 96:1-2, 3+10ac, 11-12, 13
1324	Easter, Week 5, Thurs	1+2	Ps 96:1-2a, 2b-3, 10
1325	Ord. Time, Week 21, Mon	2	Ps 96:1-2a, 2b-3, 4-5
1326	5th Day in Xmas Octave, Dec. 29	1+2	Ps 96:1-2a, 2b-3, 5b-6
1327	Ord. Time, Week 22, Mon	1	Ps 96:1+3, 4-5, 11-12, 13
1328	6th Day in Xmas Octave, Dec. 30	1+2	Ps 96:7-8a, 8b-9, 10
1329	Ord. Time, Week 8, Fri	2	Ps 96:10, 11-12, 13
1330	Ord. Time, Week 21, Tues	2	Ps 96:10, 11-12, 13
1331	Ord. Time, Week 34, Tues	2	Ps 96:10, 11-12, 13
1332	Ord. Time, Week 21, Fri	1	Ps 97:1+2b, 5-6, 10, 11-12
1333	Ord. Time, Week 1, Mon	1	Ps 97:1+2b, 6+7c, 9
1334	Ord. Time, Week 11, Thurs	2	Ps 97:1-2, 3-4, 5-6, 7
1335	Aug 6: Feast: Transfiguration of the Lord	1+2	Ps 97:1-2, 5-6, 9
1336	Ord. Time, Week 27, Sat	1	Ps 97:1-2, 5-6, 11-12
1337	Dec 27: St. John, Apostle and Evangelist	1+2	Ps 97:1-2, 5-6, 11-12
1338	Christmas Weekday: Jan. 2	1+2	Ps 98:1, 2-3ab, 3cd-4
1339	Easter, Week 4, Sat	1+2	Ps 98:1, 2-3ab, 3cd-4
1340	Easter, Week 6, Thurs	1+2	Ps 98:1, 2-3ab, 3cd-4
1341	Ord. Time, Week 8, Tues	2	Ps 98:1, 2-3ab, 3cd-4
1342	Ord. Time, Week 31, Fri	1	Ps 98:1, 2-3ab, 3cd-4
1343	Dec 8: Solemnity: Immaculate Conception of the BVMary	1+2	Ps 98:1, 2-3ab, 3cd-4
1344	Ord. Time, Week 3, Mon	1	Ps 98:1, 2-3ab, 3cd-4, 5-6
1345	Ord. Time, Week 28, Thurs	2	Ps 98:1, 2-3ab, 3cd-4, 5-6
1346	June 11: St. Barnabas, Apostle	1+2	Ps 98:1, 2-3ab, 3cd-4, 5-6
1347	Nov 18: Dedication of the Basilicas of Sts. Peter and Paul	1+2	Ps 98:1, 2-3ab, 3cd-4, 5-6
1348	Ord. Time, Week 34, Wed	2	Ps 98:1, 2-3ab, 7-8, 9
1349	Ord. Time, Week 11, Mon	1	Ps 98:1, 2b-3ab, 3cd-4
1350	Christmas Weekday: Jan. 3	1+2	Ps 98:1, 3cd-4, 5-6
1351	Christmas Weekday: Jan. 4	1+2	Ps 98:1, 7-8, 9
1352	Ord. Time, Week 21, Sat	1	Ps 98:1, 7-8, 9
1353	Ord. Time, Week 28, Mon	1	Ps 98:1bcde, 2-3ab, 3cd-4
1354	Ord. Time, Week 22, Thurs	1	Ps 98:2-3ab, 3cd-4, 5-6
1355	Ord. Time, Week 10, Wed	1	Ps 99:5, 6, 7, 8, 9
1356	Ord. Time, Week 17, Wed	1	Ps 99:5, 6, 7, 9
1357	Christmas Weekday: Jan. 5	1+2	Ps 100:1b-2, 3, 4, 5
1358	Ord. Time, Week 22, Fri	1	Ps 100:1b-2, 3, 4, 5
1359	Ord. Time, Week 24, Tues	2	Ps 100:1b-2, 3, 4, 5
1360	Ord. Time, Week 24, Sat	1	Ps 100:1b-2, 3, 4, 5
1361	Ord. Time, Week 34, Thurs	2	Ps 100:1b-2, 3, 4, 5
1362	Ord. Time, Week 29, Mon	2	Ps 100:1b-2, 3, 4ab, 4c-5
1363	Easter, Week 5, Sat	1+2	Ps 100:1b-2, 3, 5
1364	Ord. Time, Week 8, Thurs	2	Ps 100:2, 3, 4, 5
1365	Ord. Time, Week 24, Tues	1	Ps 101:1b-2ab, 2cd-3ab, 5, 6
1366	Lent, Week 5, Tues	1+2	Ps 102:2-3, 16-18, 19-21
1367	Ord. Time, Week 15, Thurs	2	Ps 102:13-14ab+15, 16-18, 19-21
1368	Ord. Time, Week 6, Thurs	1	Ps 102:16-18, 19-21, 29+22-23
1369	Ord. Time, Week 18, Tues	2	Ps 102:16-18, 19-21, 29+22-23
1370	Ord. Time, Week 26, Mon	1	Ps 102:16-18, 19-21, 29+22-23
1371	Advent, Week 2, Wed	1+2	Ps 103:1-2, 3-4, 8+10
1372	Ord. Time, Week 7, Fri	2	Ps 103:1-2, 3-4, 8-9, 11-12
1373	Lent, Week 2, Sat	1+2	Ps 103:1-2, 3-4, 9-10, 11-12
1374	Ord. Time, Week 10, Sat	1	Ps 103:1-2, 3-4, 9-10, 11-12
1375	Easter, Week 7, Fri	1+2	Ps 103:1-2, 11-12, 19-20ab
1376	Ord. Time, Week 4, Wed	1	Ps 103:1-2, 13-14, 17-18a
1377	Ord. Time, Week 15, Wed	1	Ps 103:1b-2, 3-4, 6-7
1378	Ord. Time, Week 13, Mon	1	Ps 103:1b-2, 3-4, 8-9, 10-11
1379	Ord. Time, Week 17, Tues	1	Ps 103:6-7, 8-9, 10-11, 12-13
1380	Ord. Time, Week 7, Sat	1	Ps 103:13-14, 15-16, 17-18a
1381	Ord. Time, Week 5, Wed	1	Ps 104:1-2a, 27-28, 29bc-30
1382	Ord. Time, Week 5, Mon	1	Ps 104:1-2a, 5-6, 10+12, 24+35c
1383	Ord. Time, Week 14, Sat	1	Ps 105:1-2, 3-4, 6-7
1384	Easter Octave, Wed	1+2	Ps 105:1-2, 3-4, 6-7, 8-9
1385	Ord. Time, Week 1, Wed	1	Ps 105:1-2, 3-4, 6-7, 8-9
1386	Ord. Time, Week 12, Wed	1	Ps 105:1-2, 3-4, 6-7, 8-9
1387	Ord. Time, Week 15, Thurs	1	Ps 105:1+5, 8-9, 24-25, 26-27
1388	Ord. Time, Week 14, Wed	2	Ps 105:2-3, 4-5, 6-7
1389	Ord. Time, Week 27, Sat	2	Ps 105:2-3, 4-5, 6-7
1390	Ord. Time, Week 31, Thurs	2	Ps 105:2-3, 4-5, 6-7
1391	Ord. Time, Week 32, Sat	1	Ps 105:2-3, 36-37, 42-43
1392	Lent, Week 5, Thurs	1+2	Ps 105:4-5, 6-7, 8-9
1393	Ord. Time, Week 28, Sat	1	Ps 105:6-7, 8-9, 42-43
1394	Lent, Week 2, Fri	1+2	Ps 105:16-17, 18-19, 20-21
1395	Ord. Time, Week 14, Thurs	1	Ps 105:16-17, 18-19, 20-21
1396	Ord. Time, Week 12, Thurs	1	Ps 106:1b-2, 3-4a, 4b-5
1397	Ord. Time, Week 13, Fri	1	Ps 106:1b-2, 3-4a, 4b-5
1398	Ord. Time, Week 5, Thurs	2	Ps 106:3-4, 35-36, 37+40
1399	Ord. Time, Week 18, Wed	1	Ps 106:6-7ab, 13-14, 21-22, 23
1400	Ord. Time, Week 5, Sat	2	Ps 106:6-7ab, 19-20, 21-22
1401	Lent, Week 4, Thurs	1+2	Ps 106:19-20, 21-22, 23
1402	Ord. Time, Week 17, Mon	1	Ps 106:19-20, 21-22, 23
1403	Ord. Time, Week 20, Mon	1	Ps 106:34-35, 36-37, 39-40, 43ab+44
1404	Ord. Time, Week 20, Fri	2	Ps 107:2-3, 4-5, 6-7, 8-9
1405	Ord. Time, Week 30, Thurs	1	Ps 109:21-22, 26-27, 30-31
1406	Ord. Time, Week 2, Mon	1	Ps 110:1, 2, 3, 4
1407	Ord. Time, Week 2, Wed	1	Ps 110:1, 2, 3, 4
1408	Ord. Time, Week 3, Wed	1	Ps 110:1, 2, 3, 4
1409	Ord. Time, Week 24, Wed	1	Ps 111:1-2, 3-4, 5-6
1410	Ord. Time, Week 30, Fri	2	Ps 111:1-2, 3-4, 5-6
1411	Ord. Time, Week 2, Tues	1	Ps 111:1-2, 4-5, 9+10c
1412	Ord. Time, Week 8, Mon	2	Ps 111:1-2, 5-6, 9,+10c
1413	Ord. Time, Week 27, Fri	2	Ps 111:1b-2, 3-4, 5-6
1414	Ord. Time, Week 11, Thurs	1	Ps 111:1b-2, 3-4, 7-8
1415	Ord. Time, Week 27, Mon	2	Ps 111:1b-2, 7-8, 9+10c
1416	Ord. Time, Week 24, Thurs	1	Ps 111:7-8, 9, 10
1417	Ord. Time, Week 6, Fri	2	Ps 112:1-2, 3-4, 5-6
1418	Ord. Time, Week 32, Sat	2	Ps 112:1-2, 3-4, 5-6
1419	Aug 10: St. Lawrence, Deacon and martyr	1+2	Ps 112:1-2, 5-6, 7-8, 9
1420	Ord. Time, Week 9, Tues	1	Ps 112:1-2, 7-8, 9
1421	Ord. Time, Week 9, Mon	1	Ps 112:1b-2, 3b-4, 5-6
1422	Ord. Time, Week 31, Wed	1	Ps 112:1b-2, 4-5, 9
1423	Ord. Time, Week 31, Sat	2	Ps 112:1b-2, 5-6, 8a+9
1424	Ord. Time, Week 11, Wed	1	Ps 112:1bc-2, 3-4, 9
1425	Ord. Time, Week 19, Wed	2	Ps 113:1-2, 3-4, 5-6
1426	May 14: St. Matthias, Apostle	1+2	Ps 113:1-2, 3-4, 5-6, 7-8
1427	Ord. Time, Week 23, Sat	1	Ps 113:1b-2, 3-4, 5a+6-7
1428	Ord. Time, Week 28, Mon	2	Ps 113:1b-2, 3-4, 5a+6-7
1429	Ord. Time, Week 19, Thurs	1	Ps 114:1-2, 3-4, 5-6
1430	Ord. Time, Week 13, Thurs	1	Ps 115:1-2, 3-4, 5-6, 8-9
1431	Easter, Week 5, Mon	1+2	Ps 115:1-2, 3-4, 15-16
