Seq,Reference,PropersID,Year,Brief Description of Reading
453,1 Cor 3:16-23,7th Sunday in Ordinary Time,A,
454,1 Cor 4:1-5,8th Sunday in Ordinary Time,A,
455,1 Cor 5:6b-8,Easter Sunday: Resurrection of the Lord (opt. 2),ABC,
456,"1 Cor 6:13c-15a, 17-20",2nd Sunday in Ordinary Time,B,
457,1 Cor 7:29-31,3rd Sunday in Ordinary Time,B,
458,1 Cor 7:32-35,4th Sunday in Ordinary Time,B,
459,"1 Cor 9:16-19, 22-23",5th Sunday in Ordinary Time,B,
460,"1 Cor 10:1-6, 10-12",3rd Sunday of Lent,C,
461,1 Cor 10:16-17,Sunday after Trinity Sun: Body & Blood of Christ,A,
462,1 Cor 10:31-11:1,6th Sunday in Ordinary Time,B,
463,1 Cor 11:23-26,Holy Thursday: Mass of the Lord's Supper,ABC,
464,1 Cor 11:23-26,Sunday after Trinity Sun: Body & Blood of Christ,C,
465,"1 Cor 12:3b-7, 12-13",Pentecost Sunday,ABC,
466,1 Cor 12:4-11,2nd Sunday in Ordinary Time,C,
467,"1 Cor 12:12-30 or 12:12-14, 27",3rd Sunday in Ordinary Time,C,
468,1 Cor 12:31-13:13 or 13:4-13,4th Sunday in Ordinary Time,C,
469,"1 Cor 15:1-11 or 15:3-8, 11",5th Sunday in Ordinary Time,C,
470,"1 Cor 15:12, 16-20",6th Sunday in Ordinary Time,C,
471,"1 Cor 15:20-26, 28",34th Sunday in Ord. Time: Christ the King,A,
472,1 Cor 15:20-27,"Aug 15: Assumption of the BVMary, Day",,
473,1 Cor 15:45-49,7th Sunday in Ordinary Time,C,
474,1 Cor 15:54-58,8th Sunday in Ordinary Time,C,
475,1 Cor 15:54b-57,"Aug 15: Assumption of the BVMary, Vigil",,
476,2 Cor 1:18-22,7th Sunday in Ordinary Time,B,
477,2 Cor 3:1b-6,8th Sunday in Ordinary Time,B,
478,2 Cor 4:6-11,9th Sunday in Ordinary Time,B,
479,2 Cor 4:13-5:1,10th Sunday in Ordinary Time,B,
480,2 Cor 5:6-10,11th Sunday in Ordinary Time,B,
481,2 Cor 5:14-17,12th Sunday in Ordinary Time,B,
482,2 Cor 5:17-21,4th Sunday of Lent,C,
483,"2 Cor 8:7, 9, 13-15",13th Sunday in Ordinary Time,B,
484,2 Cor 12:7-10,14th Sunday in Ordinary Time,B,
485,2 Cor 13:11-13,Sunday after Pentecost: Holy Trinity,A,
486,"Gal 1:1-2, 6-10",9th Sunday in Ordinary Time,C,
487,Gal 1:11-19,10th Sunday in Ordinary Time,C,
488,Gal 1:11-20,"June 29: Sts. Peter and Paul, Apostles, Vigil",,
489,"Gal 2:16, 19-21",11th Sunday in Ordinary Time,C,
490,Gal 3:26-29,12th Sunday in Ordinary Time,C,
491,Gal 4:4-7,"Jan. 1: Mary, Mother of God",ABC,
492,"Gal 5:1, 13-18",13th Sunday in Ordinary Time,C,
493,Gal 5:16-25,Pentecost Sunday (opt. B),B,
494,Gal 6:14-18,14th Sunday in Ordinary Time,C,
495,Eph 1:3-14 or 1:3-10,15th Sunday in Ordinary Time,B,
496,"Eph 1:3-6, 11-12",Dec 8: Immaculate Conception of the BVMary,,
497,"Eph 1:3-6, 15-18",2nd Sunday after Christmas,ABC,
498,Eph 1:17-23,Ascension of the Lord,ABC,
499,Eph 2:4-10,4th Sunday of Lent,B,
500,Eph 2:13-18,16th Sunday in Ordinary Time,B,
501,"Eph 3:2-3a, 5-6",The Epiphany of the Lord,ABC,
502,"Eph 3:8-12, 14-19",Friday after 2nd Sun after Pentecost: Sacred Heart,B,
503,Eph 4:1-6,17th Sunday in Ordinary Time,B,
504,"Eph 4:1-13 or 4:1-7, 11-13",Ascension of the Lord (opt. B),B,
505,"Eph 4:17, 20-24",18th Sunday in Ordinary Time,B,
506,Eph 4:30-5:2,19th Sunday in Ordinary Time,B,
507,Eph 5:8-14,4th Sunday of Lent,A,
508,Eph 5:15-20,20th Sunday in Ordinary Time,B,
509,"Eph 5:21-32 or 5:2a, 25-32",21st Sunday in Ordinary Time,B,
510,"Phil 1:4-6, 8-11",2nd Sunday of Advent,C,
511,"Phil 1:20c-24, 27a",25th Sunday in Ordinary Time,A,
512,Phil 2:1-11 or 2:1-5,26th Sunday in Ordinary Time,A,
513,Phil 2:6-11,Palm Sunday Mass,ABC,
514,Phil 2:6-11,Sept 14: Exaltation of the Holy Cross,,
515,Phil 3:8-14,5th Sunday of Lent,C,
516,Phil 3:17-4:1 or 3:20-4:1,2nd Sunday of Lent,C,
517,Phil 4:4-7,3rd Sunday of Advent,C,
518,Phil 4:6-9,27th Sunday in Ordinary Time,A,
519,"Phil 4:12-14, 19-20",28th Sunday in Ordinary Time,A,
520,Col 1:12-20,34th Sunday in Ord. Time: Christ the King,C,
521,Col 1:15-20,15th Sunday in Ordinary Time,C,
522,Col 1:24-28,16th Sunday in Ordinary Time,C,
523,Col 2:12-14,17th Sunday in Ordinary Time,C,
524,Col 3:1-4,Easter Sunday: Resurrection of the Lord (opt. 1),ABC,
525,"Col 3:1-5, 9-11",18th Sunday in Ordinary Time,C,
526,Col 3:12-21 or 3:12-17,Sunday in Octave of Christmas: Holy Family,ABC,
527,1 Thess 1:1-5b,29th Sunday in Ordinary Time,A,
528,1 Thess 1:5c-10,30th Sunday in Ordinary Time,A,
529,"1 Thess 2:7b-9, 13",31st Sunday in Ordinary Time,A,
530,1 Thess 3:12-4:2,1st Sunday of Advent,C,
531,1 Thess 4:13-18 or 4:13-14,32nd Sunday in Ordinary Time,A,
532,1 Thess 5:1-6,33rd Sunday in Ordinary Time,A,
533,1 Thess 5:16-24,3rd Sunday of Advent,B,
534,2 Thess 1:11-2:2,31st Sunday in Ordinary Time,C,
535,2 Thess 2:16-3:5,32nd Sunday in Ordinary Time,C,
536,2 Thess 3:7-12,33rd Sunday in Ordinary Time,C,
537,1 Tim 1:12-17,24th Sunday in Ordinary Time,C,
538,1 Tim 2:1-8,25th Sunday in Ordinary Time,C,
539,1 Tim 6:11-16,26th Sunday in Ordinary Time,C,
540,"2 Tim 1:6-8, 13-14",27th Sunday in Ordinary Time,C,
541,2 Tim 1:8b-10,2nd Sunday of Lent,A,
542,2 Tim 2:8-13,28th Sunday in Ordinary Time,C,
543,2 Tim 3:14-4:2,29th Sunday in Ordinary Time,C,
544,"2 Tim 4:6-8, 16-18",30th Sunday in Ordinary Time,C,
545,"2 Tim 4:6-8, 17-18","June 29: Sts. Peter and Paul, Apostles, Day",,
546,Titus 2:11-14,Dec. 25: Christmas: Mass at Midnight,ABC,
547,Titus 2:11-14; 3:4-7,Sunday after Epiphany: Baptism of the Lord (opt. C),C,
548,Titus 3:4-7,Dec. 25: Christmas: Mass at Dawn,ABC,
549,"Phlm 9-10, 12-17",23rd Sunday in Ordinary Time,C,
550,Heb 1:1-6,Dec. 25: Christmas: Mass during the Day,ABC,
551,Heb 2:9-11,27th Sunday in Ordinary Time,B,
552,Heb 2:14-18,Feb 2: Presentation of the Lord,,
553,Heb 4:12-13,28th Sunday in Ordinary Time,B,
554,Heb 4:14-16,29th Sunday in Ordinary Time,B,
555,Heb 4:14-16; 5:7-9,Good Friday of the Lord's Passion,ABC,
556,Heb 5:1-6,30th Sunday in Ordinary Time,B,
557,Heb 5:7-9,5th Sunday of Lent,B,
558,Heb 7:23-28,31st Sunday in Ordinary Time,B,
559,Heb 9:11-15,Sunday after Trinity Sun: Body & Blood of Christ,B,
560,Heb 9:24-28,32nd Sunday in Ordinary Time,B,
561,Heb 9:24-28; 10:19-23,Ascension of the Lord (opt. C),C,
562,Heb 10:4-10,March 25: Annunciation of the Lord,,
563,Heb 10:5-10,4th Sunday of Advent,C,
564,"Heb 10:11-14, 18",33rd Sunday in Ordinary Time,B,
565,"Heb 11:1-2, 8-19 or 11:1-2, 8-12",19th Sunday in Ordinary Time,C,
566,"Heb 11:8, 11-12, 17-19",Sunday in Octave of Christmas: Holy Family (opt. B),B,
567,Heb 12:1-4,20th Sunday in Ordinary Time,C,
568,"Heb 12:5-7, 11-13",21st Sunday in Ordinary Time,C,
569,"Heb 12:18-19, 22-24a",22nd Sunday in Ordinary Time,C,
570,"Jas 1:17-18, 21b-22, 27",22nd Sunday in Ordinary Time,B,
571,Jas 2:1-5,23rd Sunday in Ordinary Time,B,
572,Jas 2:14-18,24th Sunday in Ordinary Time,B,
573,Jas 3:16-4:3,25th Sunday in Ordinary Time,B,
574,Jas 5:1-6,26th Sunday in Ordinary Time,B,
575,Jas 5:7-10,3rd Sunday of Advent,A,
576,1 Pet 1:3-9,2nd Sunday of Easter,A,
577,1 Pet 1:8-12,"June 24: Nativity of St. John the Baptist, Vigil",,
578,1 Pet 1:17-21,3rd Sunday of Easter,A,
579,1 Pet 2:4-9,5th Sunday of Easter,A,
580,1 Pet 2:20b-25,4th Sunday of Easter,A,
581,1 Pet 3:15-18,6th Sunday of Easter,A,
582,1 Pet 3:18-22,1st Sunday of Lent,B,
583,1 Pet 4:13-16,7th Sunday of Easter,A,
584,2 Pet 1:16-19,Aug 6: Transfiguration of the Lord,,
585,2 Pet 3:8-14,2nd Sunday of Advent,B,
586,1 John 2:1-5a,3rd Sunday of Easter,B,
587,1 John 3:1-2,4th Sunday of Easter,B,
588,"1 John 3:1-2, 21-24",Sunday in Octave of Christmas: Holy Family (opt. C),C,
589,1 John 3:1-3,Nov 1: All Saints,,
590,1 John 3:18-24,5th Sunday of Easter,B,
591,1 John 4:7-10,6th Sunday of Easter,B,
592,1 John 4:7-16,Friday after 2nd Sun after Pentecost: Sacred Heart,A,
593,1 John 4:11-16,7th Sunday of Easter,B,
594,1 John 5:1-6,2nd Sunday of Easter,B,
595,1 John 5:1-9,Sunday after Epiphany: Baptism of the Lord (opt. B),B,
596,Rev 1:5-8,34th Sunday in Ord. Time: Christ the King,B,
597,"Rev 1:9-11a, 12-13, 17-19",2nd Sunday of Easter,C,
598,Rev 5:11-14,3rd Sunday of Easter,C,
599,"Rev 7:2-4, 9-14",Nov 1: All Saints (1st reading),,
600,"Rev 7:9, 14b-17",4th Sunday of Easter,C,
601,"Rev 11:19a; 12:1-6a, 10ab","Aug 15: Assumption of the BVMary, Day (1st reading)",,
602,Rev 21:1-5a,5th Sunday of Easter,C,
603,"Rev 21:10-14, 22-23",6th Sunday of Easter,C,
604,"Rev 22:12-14, 16-17, 20",7th Sunday of Easter,C,
605,"Ps 1:1-2, 3, 4+6",6th Sunday in Ordinary Time,C,"Blessed are they who hope in the Lord." (Ps 40:5a)
606,"Ps 4:2, 4, 7-8, 9",3rd Sunday of Easter,B,"Lord, let your face shine on us." or "Alleluia."
607,"Ps 8:2+5, 6-7, 8-9",Octave of Easter:Thursday,,"O Lord, our God, how wonderful your name in all the earth!" or "Alleluia."
608,"Ps 8:4-5, 6-7, 8-9",Sunday after Pentecost: Holy Trinity,C,"O Lord, our God, how wonderful your name in all the earth!"
609,"Ps 15:2-3a, 3b-4, 5",16th Sunday in Ordinary Time,C,"He who does justice will live in the presence of the Lord."
610,"Ps 15:2-3a, 3b-4a, 4b-5",22nd Sunday in Ordinary Time,B,"The one who does justice will live in the presence of the Lord."
611,"Ps 16:1-2a+5, 7-8, 9-10, 11",3rd Sunday of Easter,A,"Lord, you will show us the path of life." or "Alleluia."
612,"Ps 16:1-2a+5, 7-8, 9-10, 11",13th Sunday in Ordinary Time,C,"You are my inheritance, O Lord."
613,"Ps 16:1-2a+5, 7-8, 9-10, 11",Octave of Easter:Monday,,"You are my inheritance, O Lord." or "Alleluia."
614,"Ps 16:5+8, 9-10, 11",Easter Vigil (resp. 2),ABC,"You are my inheritance, O Lord."
615,"Ps 16:5+8, 9-10, 11",33rd Sunday in Ordinary Time,B,"You are my inheritance, O Lord!"
616,"Ps 17:1, 5-6, 8+15",32nd Sunday in Ordinary Time,C,"Lord, when your glory appears, my joy will be full."
617,"Ps 18:2-3a, 3b-4, 47+51",30th Sunday in Ordinary Time,A,"I love you, Lord, my strength."
618,"Ps 18:2-3a, 3b-4, 47+51",31st Sunday in Ordinary Time,B,"I love you, Lord, my strength."
619,"Ps 19:2-3, 4-5","June 29: Sts. Peter and Paul, Vigil",,"Their message goes out through all the earth."
620,"Ps 19:8, 9, 10, 11",3rd Sunday of Lent,B,"Lord, you have the words of everlasting life." (John 6:68c)"
621,"Ps 19:8, 9, 10, 11",Easter Vigil (resp. 6),ABC,"Lord, you have the words of everlasting life." (John 6:68c)"
622,"Ps 19:8, 9, 10, 11",15th Sunday in Ordinary Time (opt. 2),C*,"Your words, Lord, are Spirit and life."
623,"Ps 19:8, 9, 10, 15",3rd Sunday in Ordinary Time,C,"Your words, Lord, are spirit and life." (John 6:63c)"
624,"Ps 19:8, 10, 12-13, 14",26th Sunday in Ordinary Time,B,"The precepts of the Lord give joy to the heart."
625,"Ps 22:8-9, 17-18, 19-20, 23-24",Palm Sunday Mass,ABC,"My God, my God, why have you abandoned me?."
626,"Ps 22:26-27, 28+30, 31-32",5th Sunday of Easter,B,"I will praise you, Lord, in the assembly of your people." or "Alleluia."
627,"Ps 23:1-2a, 2b-3, 5, 6",34th Sunday in Ord. Time: Christ the King,A,"The Lord is my shepherd; there is nothing I shall want."
628,"Ps 23:1-3a, 3b-4, 5, 6",4th Sunday of Lent,A,"The Lord is my shepherd; there is nothing I shall want."
629,"Ps 23:1-3a, 3b-4, 5, 6",4th Sunday of Easter,A,"The Lord is my shepherd; there is nothing I shall want." or "Alleluia."
630,"Ps 23:1-3a, 3b-4, 5, 6",16th Sunday in Ordinary Time,B,"The Lord is my shepherd; there is nothing I shall want."
631,"Ps 23:1-3a, 3b-4, 5, 6",28th Sunday in Ordinary Time,A,"I shall live in the house of the Lord all the days of my life."
632,"Ps 23:1-3a, 3b-4, 5, 6",Friday after 2nd Sun after Pentecost: Sacred Heart,C,"The Lord is my shepherd; there is nothing I shall want."
633,"Ps 23:1-3a, 3b-4, 5, 6",Nov. 2: Commemoration of All Souls,,"The Lord is my shepherd; there is nothing I shall want."
or "Though I walk in the valley of darkness, I fear no evil, for you are with me."
634,"Ps 24:1-2, 3-4, 5-6",4th Sunday of Advent,A,"Let the Lord enter; he is the king of glory."
635,"Ps 24:1bc-2, 3-4ab, 5-6",Nov 1: All Saints,,"Lord, this is the people that longs to see your face."
636,"Ps 24:7, 8, 9, 10",Feb 2: Presentation of the Lord,,"Who is this king of glory? It is the Lord!"
637,"Ps 25:4-5, 6-7, 8-9",1st Sunday of Lent,B,"Your ways, O Lord, are love and truth to those who keep your covenant."
638,"Ps 25:4-5, 6-7, 8-9",3rd Sunday in Ordinary Time,B,"Teach me your ways, O Lord."
639,"Ps 25:4-5, 6-7, 8-9",26th Sunday in Ordinary Time,A,"Remember your mercies, O Lord."
640,"Ps 25:4-5, 8-9, 10+14",1st Sunday of Advent,C,"To you, O Lord, I lift my soul."
641,"Ps 25:6+7b, 17-18, 20-21",Nov. 2: Commemoration of All Souls,,"To you, O Lord, I lift my soul."
or "No one who waits for you, O Lord, will ever be put to shame.""
642,"Ps 27:1, 4, 7-8",7th Sunday of Easter,A,"I believe that I shall see the good things of the Lord in the land of the living." or "Alleluia."
643,"Ps 27:1, 4, 7+8b+9a, 13-14",Nov. 2: Commemoration of All Souls,,"The Lord is my light and my salvation."
or "I believe that I shall see the good things of the Lord in the land of the living."
644,"Ps 27:1, 4, 13-14",3rd Sunday in Ordinary Time,A,"The Lord is my light and my salvation."
645,"Ps 27:1, 7-8a, 8b-9, 13-14",2nd Sunday of Lent,C,"The Lord is my light and my salvation."
646,"Ps 29:1-2, 3-4, 3b+9b-10",Sunday after Epiphany: Baptism of the Lord,ABC,"The Lord will bless his people with peace."
647,"Ps 30:2+4, 5-6, 11-12a+13b",Easter Vigil (resp. 4),ABC,"I will praise you, Lord, for you have rescued me."
648,"Ps 30:2+4, 5-6, 11-12a+13b",3rd Sunday of Easter,C,"I will praise you, Lord, for you have rescued me." or "Alleluia."
649,"Ps 30:2+4, 5-6, 11-12a+13b",10th Sunday in Ordinary Time,C,"I will praise you, Lord, for you have rescued me."
650,"Ps 30:2+4, 5-6, 11-12a+13b",13th Sunday in Ordinary Time,B,"I will praise you, Lord, for you have rescued me."
651,"Ps 31:2-3a, 3b-4, 17+25",9th Sunday in Ordinary Time,A,"Lord, be my rock of safety."
652,"Ps 31:2+6, 12-13, 15-16, 17+25",Good Friday of the Lord's Passion,ABC,"Father, into your hands I commend my spirit." (Luke 23:46)"
653,"Ps 32:1-2, 5, 7, 11",11th Sunday in Ordinary Time,C,"Lord, forgive the wrong I have done."
654,"Ps 32:1-2, 5, 11",6th Sunday in Ordinary Time,B,"I turn to you, Lord, in time of trouble, and you fill me with the joy of salvation."
655,"Ps 33:1-2, 4-5, 18-19",5th Sunday of Easter,A,"Lord, let your mercy be on us, as we place our trust in you." or "Alleluia."
656,"Ps 33:1+12, 18-19, 20-22",19th Sunday in Ordinary Time,C,"Blessed the people the Lord has chosen to be his own."
657,"Ps 33:4-5, 6-7, 12-13, 20-22",Easter Vigil (resp. 1b),ABC,"The earth is full of the goodness of the Lord."
658,"Ps 33:4-5, 6+9, 18-19, 20+22",Sunday after Pentecost: Holy Trinity,B,"Blessed the people the Lord has chosen to be his own."
659,"Ps 33:4-5, 18-19, 20+22",2nd Sunday of Lent,A,"Lord, let your mercy be on us, as we place our trust in you."
660,"Ps 33:4-5, 18-19, 20+22",29th Sunday in Ordinary Time,B,"Lord, let your mercy be on us, as we place our trust in you."
661,"Ps 33:4-5, 18-19, 20+22",Octave of Easter:Tuesday,,"The earth is full of the goodness of the Lord." or "Alleluia."
662,"Ps 34:2-3, 4-5, 6-7",4th Sunday of Lent,C,"Taste and see the goodness of the Lord."
663,"Ps 34:2-3, 4-5, 6-7",20th Sunday in Ordinary Time,B*,"Taste and see the goodness of the Lord."
664,"Ps 34:2-3, 4-5, 6-7, 8-9",19th Sunday in Ordinary Time,B,"Taste and see the goodness of the Lord."
665,"Ps 34:2-3, 4-5, 6-7, 8-9","June 29: Sts. Peter and Paul, Day",,"The angel of the Lord will rescue those who fear him."
666,"Ps 34:2-3, 16-17, 18-19, 20-21",21st Sunday in Ordinary Time,B*,"Taste and see the goodness of the Lord."
667,"Ps 34:2-3, 17-18, 19+23",30th Sunday in Ordinary Time,C,"The Lord hears the cry of the poor."
668,"Ps 40:2, 3, 4, 18",20th Sunday in Ordinary Time,C,"Lord, come to my aid!"
669,"Ps 40:2+4, 7-8a, 8b-9, 10",2nd Sunday in Ordinary Time,A,"Here I am, Lord; I come to do your will."
670,"Ps 40:2+4, 7-8a, 8b-9, 10",2nd Sunday in Ordinary Time,B,"Here I am, Lord; I come to do your will."
671,"Ps 40:7-8a, 8b-9, 10, 11",March 25: Annunciation of the Lord,,"Here I am, Lord; I come to do your will."
672,"Ps 41:2-3, 4-5, 13-14",7th Sunday in Ordinary Time,B,"Lord, heal my soul, for I have sinned against you."
673,"Ps 42:3, 5; 43:3, 4",Easter Vigil (resp. 7a),ABC,"Like a deer that longs for running streams, my soul longs for you, my God."
674,"Ps 45:10, 11, 12, 16","Aug 15: Assumption of the BVMary, Day",,"The queen stands at your right hand, arrayed in gold."
675,"Ps 46:2-3, 5-6, 8-9",Nov 9: Dedication of the Lateran Basilica in Rome,,"The waters of the river gladden the city of God, the holy dwelling of the Most High."
676,"Ps 47:2-3, 6-7, 8-9",Ascension of the Lord,ABC,"God mounts his throne to shouts of joy: a blare of trumpets for the Lord." or "Alleluia."
677,"Ps 50:1+8, 12-13, 14-15",10th Sunday in Ordinary Time,A,"To the upright I will show the saving power of God."
678,"Ps 51:3-4, 12-13, 14-15",5th Sunday of Lent,B,"Create a clean heart in me, O God."
679,"Ps 51:3-4, 12-13, 17+19",24th Sunday in Ordinary Time,C,"I will rise and go to my father." (Luke 15:18)
680,"Ps 51:3-4, 5-6, 12-13, 14+17",1st Sunday of Lent,A,"Be merciful, O Lord, for we have sinned."
681,"Ps 51:12-13, 14-15, 18-19",Easter Vigil (resp. 7b),ABC,"Create a clean heart in me, O God."
682,"Ps 54:3-4, 5, 6-8",25th Sunday in Ordinary Time,B,"The Lord upholds my life."
683,"Ps 63:2, 3-4, 5-6, 7-8",32nd Sunday in Ordinary Time,A,"My soul is thirsting for you, O Lord my God."
684,"Ps 63:2, 3-4, 5-6, 8-9",12th Sunday in Ordinary Time,C,"My soul is thirsting for you, O Lord my God."
685,"Ps 63:2, 3-4, 5-6, 8-9",22nd Sunday in Ordinary Time,A,"My soul is thirsting for you, O Lord my God."
686,"Ps 62:2-3, 6-7, 8-9",8th Sunday in Ordinary Time,A,"Rest in God alone, my soul."
687,"Ps 65:10, 11, 12-13, 14",15th Sunday in Ordinary Time,A,"The seed that falls on good ground will yield a fruitful harvest." (Luke 8:8)
688,"Ps 66:1-3, 4-5, 6-7, 16+20",6th Sunday of Easter,A,"Let all the earth cry out to God with joy." or "Alleluia."
689,"Ps 66:1-3, 4-5, 6-7, 16+20",14th Sunday in Ordinary Time,C,"Let all the earth cry out to God with joy."
690,"Ps 67:2-3, 5, 6+8","Jan. 1: Mary, Mother of God",ABC,"May God bless us in his mercy."
691,"Ps 67:2-3, 5, 6+8",6th Sunday of Easter,C,"O God, let all the nations praise you!" or "Alleluia."
692,"Ps 67:2-3, 5, 6+8",20th Sunday in Ordinary Time,A,"O God, let all the nations praise you!"
693,"Ps 68:4-5, 6-7, 10-11",22nd Sunday in Ordinary Time,C,"God, in your goodness, you have made a home for the poor."
694,"Ps 69:14+17, 30-31, 33-34, 36a+37",15th Sunday in Ordinary Time (opt. 1),C,"Turn to the Lord in your need, and you will live."
695,"Ps 69:8-10, 14+17, 33-35",12th Sunday in Ordinary Time,A,"Lord, in your great love, answer me."
696,"Ps 71:1-2, 3-4, 5-6, 15+17",4th Sunday in Ordinary Time,C,"I will sing of your salvation."
697,"Ps 71:1-2, 3-4a, 5-6ab, 15ab+17","June 24: Nativity of St. John the Baptist, Vigil",,"Since my mother's womb, you have been my strength."
698,"Ps 72:1-2, 7-8, 10-11, 12-13",The Epiphany of the Lord,ABC,"Lord, every nation on earth will adore you."
699,"Ps 72:1-2, 7-8, 12-13, 17",2nd Sunday of Advent,A,"Justice shall flourish in his time, and fullness of peace forever."
700,"Ps 78:1bc-2, 34-35, 36-37, 38",Sept 14: Exaltation of the Holy Cross,,"Do not forget the works of the Lord!"
701,"Ps 78:3-4, 23-24, 25+54",18th Sunday in Ordinary Time,B,"The Lord gave them bread from heaven."
702,"Ps 80:2-3, 15-16, 18-19",1st Sunday of Advent,B,"Lord, make us turn to you; let us see your face and we shall be saved."
703,"Ps 80:2-3, 15-16, 18-19",4th Sunday of Advent,C,"Lord, make us turn to you; let us see your face and we shall be saved."
704,"Ps 80:9+12, 13-14, 15-16, 19-20",27th Sunday in Ordinary Time,A,"The vineyard of the Lord is the house of Israel." (Isa 5:7a)
705,"Ps 81:3-4, 5-6, 7-8, 10-11",9th Sunday in Ordinary Time,B,"Sing with joy to God, our help."
706,"Ps 84:2-3, 5-6, 9-10",Sunday in Octave of Christmas: Holy Family (opt. C),C*,"Blessed are they who dwell in your house, O Lord."
707,"Ps 85:9ab+10, 11-12, 13-14",2nd Sunday of Advent,B,"Lord, let us see your kindness, and grant us your salvation."
708,"Ps 85:9ab+10, 11-12, 13-14",15th Sunday in Ordinary Time,B,"Lord, let us see your kindness, and grant us your salvation."
709,"Ps 85:9ab+10, 11-12, 13-14",19th Sunday in Ordinary Time,A,"Lord, let us see your kindness, and grant us your salvation."
710,"Ps 86:5-6, 9-10, 15-16",16th Sunday in Ordinary Time,A,"Lord, you are good and forgiving."
711,"Ps 89:2-3, 4-5, 27+29",4th Sunday of Advent,B,"Forever I will sing the goodness of the Lord."
712,"Ps 89:2-3, 4-5, 27+29","March 19: St. Joseph, husband of the BVMary",,"The son of David will live forever."
713,"Ps 89:2-3, 16-17, 18-19",13th Sunday in Ordinary Time,A,"Forever I will sing the goodness of the Lord."
714,"Ps 89:4-5, 16-17, 27+29",Dec. 25: Christmas: Vigil Mass,ABC,"Forever I will sing the goodness of the Lord."
715,"Ps 89:21-22, 25+27",Thursday of Holy Week: Chrism Mass,,"For ever I will sing the goodness of the Lord."
716,"Ps 90:3-4, 5-6, 12-13, 14+17",18th Sunday in Ordinary Time,C*,"If today you hear his voice, harden not your hearts."
717,"Ps 90:3-4, 5-6, 12-13, 14+17",23rd Sunday in Ordinary Time,C,"In every age, O Lord, you have been our refuge."
718,"Ps 90:12-13, 14-15, 16-17",28th Sunday in Ordinary Time,B,"Fill us with your love, O Lord, and we will sing for joy!"
719,"Ps 91:1-2, 10-11, 12-13, 14-15",1st Sunday of Lent,C,"Be with me, Lord, when I am in trouble."
720,"Ps 92:2-3, 13-14, 15-16",8th Sunday in Ordinary Time,C,"Lord, it is good to give thanks to you."
721,"Ps 92:2-3, 13-14, 15-16",11th Sunday in Ordinary Time,B,"Lord, it is good to give thanks to you."
722,"Ps 93:1a, 1b-2, 5",34th Sunday in Ord. Time: Christ the King,B,"The Lord is king; he is robed in majesty."
723,"Ps 95:1-2, 6-7b, 7c-9",3rd Sunday of Lent,A,"If today you hear his voice, harden not your hearts."
724,"Ps 95:1-2, 6-7b, 7c-9",23rd Sunday in Ordinary Time,A,"If today you hear his voice, harden not your hearts."
725,"Ps 95:1-2, 6-7b, 7c-9",27th Sunday in Ordinary Time,C,"If today you hear his voice, harden not your hearts."
726,"Ps 95:1-2, 6-7b, 7c-9",4th Sunday in Ordinary Time,B,"If today you hear his voice, harden not your hearts."
727,"Ps 96:1-2a, 2b-3, 7-8, 9-10",2nd Sunday in Ordinary Time,C,"Proclaim his marvelous deeds to all the nations."
728,"Ps 96:1-2a, 2b-3, 11-12, 13",Dec. 25: Christmas: Mass at Midnight,ABC,"Today is born our Savior, Christ the Lord." (Luke 2:11)"
729,"Ps 96:1+3, 4-5, 7-8, 9-10",29th Sunday in Ordinary Time,A,"Give the Lord glory and honor."
730,"Ps 97:1-2, 5-6, 9",Aug 6: Transfiguration of the Lord,,"The Lord is king, the most high over all the earth."
731,"Ps 97:1-2, 6-7, 9",7th Sunday of Easter,C,"The Lord is king, the most high over all the earth." or "Alleluia."
732,"Ps 97:1+6, 11-12",Dec. 25: Christmas: Mass at Dawn,ABC,"A light will shine on us this day: the Lord is born for us."
733,"Ps 98:1, 2-3a, 3b-4",6th Sunday of Easter,B,"The Lord has revealed to the nations his saving power." or "Alleluia."
734,"Ps 98:1, 2-3a, 3b-4",28th Sunday in Ordinary Time,C,"The Lord has revealed to the nations his saving power."
735,"Ps 98:1, 2-3ab, 3cd-4",Dec 8: Immaculate Conception of the BVMary,,"Sing to the Lord a new song, for he has done marvelous deeds."
736,"Ps 98:1, 2-3a, 3b-4, 5-6",Dec. 25: Christmas: Mass during the Day,ABC,"All the ends of the earth have seen the saving power of God."
737,"Ps 98:5-6, 7-8, 9",33rd Sunday in Ordinary Time,C*,"The Lord comes to rule the earth with justice."
738,"Ps 100:1-2, 3, 5",4th Sunday of Easter,C,"We are his people, the sheep of his flock." or "Alleluia."
739,"Ps 100:1-2, 3, 5",11th Sunday in Ordinary Time,A,"We are his people: the sheep of his flock."
740,"Ps 103:1-2, 3-4, 6-7, 8+10",Friday after 2nd Sun after Pentecost: Sacred Heart,A,"The Lord's kindness is everlasting to those who fear him."
741,"Ps 103:1-2, 3-4, 6-7, 8+11",3rd Sunday of Lent,C,"The Lord is kind and merciful."
742,"Ps 103:1-2, 3-4, 8+10, 12-13",7th Sunday in Ordinary Time,A,"The Lord is kind and merciful."
743,"Ps 103:1-2, 3-4, 8+10, 12-13",7th Sunday in Ordinary Time,C,"The Lord is kind and merciful."
744,"Ps 103:1-2, 3-4, 8+10, 12-13",8th Sunday in Ordinary Time,B,"The Lord is kind and merciful."
