1926-01-01	NOE	Christmas Octave:1 Jan (Mary, the Holy Mother of God & Circumcision of our Lord)
1926-01-02	NOE	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors
1926-01-03	NOE	CHRISTMAS II
1926-01-04	NOE	Christmastide:4 Jan
1926-01-05	NOE	Christmastide:5 Jan
1926-01-06	NOE	EPIPHANY OF OUR LORD
1926-01-07	NOE	Epiphanytide:7 Jan	St Raymond of Penyafort, Priest
1926-01-08	NOE	Epiphanytide:8 Jan
1926-01-09	NOE	Epiphanytide:9 Jan
1926-01-10	NOE	BAPTISM OF OUR LORD
1926-01-11	NOE	Ord Time I:Mon
1926-01-12	NOE	Ord Time I:Tue	St Aelred of Rievaulx, Abbot
1926-01-13	NOE	Ord Time I:Wed	St Hilary, Bishop, Doctor
1926-01-14	NOE	Ord Time I:Thu
1926-01-15	NOE	Ord Time I:Fri
1926-01-16	NOE	Ord Time I:Sat	Saturday memorial of our Lady
1926-01-17	NOE	ORDINARY TIME II
1926-01-18	NOE	Ord Time II:Mon
1926-01-19	NOE	Ord Time II:Tue	St Wulstan, Bishop, Religious
1926-01-20	NOE	Ord Time II:Wed	St Fabian, Pope, Martyr	St Sebastian, Martyr
1926-01-21	NOE	St Agnes, Virgin, Martyr
1926-01-22	NOE	Ord Time II:Fri	St Vincent, Deacon, Martyr
1926-01-23	NOE	Ord Time II:Sat	Saturday memorial of our Lady
1926-01-24	NOE	ORDINARY TIME III (Word of God)
1926-01-25	NOE	Conversion of St Paul, Apostle
1926-01-26	NOE	Ss Timothy & Titus, Bishops
1926-01-27	NOE	Ord Time III:Wed	St Angela Merici, Virgin
1926-01-28	NOE	St Thomas Aquinas, Priest, Doctor
1926-01-29	NOE	Ord Time III:Fri
1926-01-30	NOE	Ord Time III:Sat	Saturday memorial of our Lady
1926-01-31	NOE	ORDINARY TIME IV
1926-02-01	NOE	Ord Time IV:Mon
1926-02-02	NOE	Presentation of our Lord
1926-02-03	NOE	Ord Time IV:Wed	St Ansgar (Oscar), Bishop	St Blaise, Bishop, Martyr
1926-02-04	NOE	Ord Time IV:Thu
1926-02-05	NOE	St Agatha, Virgin, Martyr
1926-02-06	NOE	Ss Paul Miki & Companions, Martyrs
1926-02-07	NOE	ORDINARY TIME V
1926-02-08	NOE	Ord Time V:Mon	St Jerome Emilian	St Josephine Bakhita, Virgin
1926-02-09	NOE	Ord Time V:Tue
1926-02-10	NOE	St Scholastica, Virgin
1926-02-11	NOE	Ord Time V:Thu	Our Lady of Lourdes
1926-02-12	NOE	Ord Time V:Fri
1926-02-13	NOE	Ord Time V:Sat	Saturday memorial of our Lady
1926-02-14	NOE	ORDINARY TIME VI
1926-02-15	NOE	Ord Time VI:Mon
1926-02-16	NOE	Ord Time VI:Tue
1926-02-17	NOE	Ash Wednesday
1926-02-18	NOE	Thursday after Ash Wednesday
1926-02-19	NOE	Friday after Ash Wednesday
1926-02-20	NOE	Saturday after Ash Wednesday
1926-02-21	NOE	LENT I
1926-02-22	NOE	St Peter's Chair
1926-02-23	NOE	Lent I:Tue	St Polycarp, Bishop, Martyr
1926-02-24	NOE	Lent I:Wed
1926-02-25	NOE	Lent I:Thu
1926-02-26	NOE	Lent I:Fri
1926-02-27	NOE	Lent I:Sat	St Gregory of Narek, Abbot, Doctor
1926-02-28	NOE	LENT II
1926-03-01	NOE	St David, Bishop
1926-03-02	NOE	Lent II:Tue
1926-03-03	NOE	Lent II:Wed
1926-03-04	NOE	Lent II:Thu	St Casimir
1926-03-05	NOE	Lent II:Fri
1926-03-06	NOE	Lent II:Sat
1926-03-07	NOE	LENT III
1926-03-08	NOE	Lent III:Mon	St John of God, Religious
1926-03-09	NOE	Lent III:Tue	St Frances of Rome, Religious
1926-03-10	NOE	Lent III:Wed
1926-03-11	NOE	Lent III:Thu
1926-03-12	NOE	Lent III:Fri
1926-03-13	NOE	Lent III:Sat
1926-03-14	NOE	LENT IV (Laetare & Mothering Sunday)
1926-03-15	NOE	Lent IV:Mon
1926-03-16	NOE	Lent IV:Tue
1926-03-17	NOE	St Patrick, Bishop, Missionary
1926-03-18	NOE	Lent IV:Thu	St Cyril of Jerusalem, Bishop, Doctor
1926-03-19	NOE	St Joseph, Husband of our Lady
1926-03-20	NOE	Lent IV:Sat
1926-03-21	NOE	LENT V
1926-03-22	NOE	Lent V:Mon
1926-03-23	NOE	Lent V:Tue	St Turibius of Mongrovejo, Bishop
1926-03-24	NOE	Lent V:Wed
1926-03-25	NOE	Annunciation of our Lord
1926-03-26	NOE	Lent V:Fri
1926-03-27	NOE	Lent V:Sat
1926-03-28	NOE	PALM SUNDAY
1926-03-29	NOE	Holy Monday
1926-03-30	NOE	Holy Tuesday
